,Temperatura Ambiental (°C),Humedad,Temperatura de la muestra (°C),pH,"CE
(µS/cm)","STD
(mg/L)","STS
(mL sed/L)","OD
(mg/L)",Nivel (cm),Turbidez (NTU),"Dureza
(mg CaCO3/L)","Cloruros
(mg Cl-/L)"
163,18.7,0.19,21.6,7.8,1630,810,100,0.63,30,206,193,142
164,18.7,0.19,21.7,7.9,1440,710,50,1.39,30,43.3,240,158
165,18.7,0.19,21.7,8,1530,760,50,1.23,30,52.1,240,158
166,18.7,0.19,21.7,7.9,1600,790,46,1.21,40,33,228,174
167,18.7,0.19,21.6,7.9,1610,800,46,1.06,40,27.8,228,174
168,18.7,0.19,21.7,7.7,930,460,20,1.67,30,1.89,234,79
169,18.7,0.19,21.7,7.7,940,470,20,1.57,30,2.23,234,79
170,18.7,0.19,22,7.4,1710,850,70,0.62,50,329,222,174
171,18.7,0.19,22,7.5,1710,850,70,1.08,50,197,222,174
172,17,0.72,19.7,7.6,1570,780,60,2.27,30,33.4,193,142
173,17,0.72,19.5,7.7,1500,740,60,2.24,30,30.4,193,142
174,17,0.72,19.5,7.8,1180,580,40,1.18,25,35.5,211,107
175,17,0.72,19.6,7.8,1180,580,40,1.35,25,36.8,211,107
176,17,0.72,19.8,7.9,1450,720,24,1.25,35,36.9,222,150
177,17,0.72,19.8,7.8,1460,720,24,0.96,35,44.2,222,150
178,17,0.72,19.9,7.6,830,410,44,1.98,20,4.68,252,47
179,17,0.72,19.9,7.6,830,410,44,1.7,20,3.5,252,47
180,17,0.72,20.1,7.8,1520,750,54,1.41,45,39.9,211,142
181,17,0.72,20.1,7.8,1530,750,54,1.64,45,47.4,211,142
182,13.8,0.69,19.2,7.8,1610,790,52,1.11,25,81,165,122
183,13.8,0.69,19.3,7.8,1610,790,52,1.17,25,62.5,165,122
184,13.8,0.69,19,8,1280,640,44,1.32,30,31.7,205,130
185,13.8,0.69,18.8,8,1320,650,44,1.44,30,25.3,205,130
186,13.8,0.69,19,7.9,1390,690,,2.04,40,30.1,200,142
187,13.8,0.69,18.9,8,1420,700,,1.53,40,26.6,200,142
188,13.8,0.69,19.1,7.9,880,430,30,3.46,30,10.1,217,55
189,13.8,0.69,19.1,8,890,440,30,3.41,30,9.31,217,55
190,13.8,0.69,19.4,7.9,1430,710,20,1.68,60,43.4,188,134
191,13.8,0.69,19.3,7.9,1470,720,20,1.45,60,39.1,188,134
192,13,0.78,24.4,7.5,800,390,50,1.89,30,150,114,59
193,13,0.78,24.4,7.5,810,400,50,0.54,30,219,114,59
194,13,0.78,24.4,7.6,700,340,14,0.61,30,87.1,131,63
195,13,0.78,24.2,7.6,730,360,14,0.9,30,172,131,63
196,13,0.78,24.3,7.6,820,400,40,0.92,50,69.2,137,71
197,13,0.78,24.3,7.7,860,420,40,0.73,50,137,137,71
198,13,0.78,24.2,7.4,540,260,10,1.44,30,7.41,154,32
199,13,0.78,24.6,7.6,580,280,10,1.99,30,13,154,32
200,13,0.78,24.6,7.6,1110,550,40,0.49,55,104,314,138
201,13,0.78,24.7,7.6,1160,570,40,0.52,55,181,314,138
202,20,0.52,26.3,7.8,1050,520,50,1.17,35,118,108,79
203,20,0.52,26.1,7.8,970,480,50,0.91,35,92.1,108,79
204,20,0.52,26.2,7.9,1530,760,18,1.33,35,19.4,234,150
205,20,0.52,26.1,8,1550,770,18,0.55,35,24.5,234,150
206,20,0.52,26.2,7.8,1240,610,60,1.04,45,60,177,115
207,20,0.52,26.2,7.8,1260,620,60,0.63,45,66.1,177,115
208,20,0.52,26.4,7.6,1070,530,10,1.85,40,2.3,268,71
209,20,0.52,26.3,7.7,1010,490,10,1.15,40,2.9,268,71
210,20,0.52,26.3,7.6,1080,530,44,0.97,60,319,137,95
211,20,0.52,26.4,7.7,1090,540,44,0.64,60,388,137,95
212,30.5,0.5,27.7,7.8,1460,700,80,0.96,30,52,154,142
213,30.5,0.5,27.6,7.8,1410,700,80,1.31,30,63.9,154,142
214,30.5,0.5,27.6,8.2,1570,780,30,1.31,30,4.47,223,166
215,30.5,0.5,27.6,8.2,1570,780,30,0.96,30,10.6,223,166
216,30.5,0.5,27.6,8,1530,760,40,0.52,40,19.6,194,150
217,30.5,0.5,27.6,7.9,1530,760,40,0.47,40,21.3,194,150
218,30.5,0.5,27.6,7.8,1050,520,1,1.34,25,1.06,245,71
219,30.5,0.5,27.6,7.6,1030,500,1,1.03,25,1.64,245,71
220,30.5,0.5,27.6,7.3,1510,750,60,0.45,55,243,200,
221,30.5,0.5,27.6,7.2,1500,740,60,0.46,55,467,200,
222,18,0.55,22.1,7.01,280,140,8,3.75,100,63,,
223,18,0.55,21.9,7.01,270,130,8,3.71,100,52,,
224,18,0.55,21.8,7.76,1270,630,4,4.33,50,2.16,,
225,18,0.55,21.9,7.86,1270,630,4,3.95,50,2.64,,
226,18,0.55,21.9,7.62,350,170,,3.29,100,42,,
227,18,0.55,22,7.32,350,170,,2.89,100,42.2,,
228,18,0.55,21.9,7.48,770,380,1,3.77,60,1.09,,
229,18,0.55,21.9,7.6,780,390,1,3.38,60,1.24,,
230,18,0.55,22,7.75,780,390,35,1.59,125,41.6,,
231,18,0.55,21.9,7.3,770,380,35,1.42,125,34.6,,
232,15.2,0.5,20.6,7.3,600,290,70,1.74,45,56,,
233,15.2,0.5,20.4,7.6,550,260,70,1.99,45,64.2,,
234,15.2,0.5,20.4,8,1290,640,2,1.18,50,2.66,,
235,15.2,0.5,20.3,8,1290,640,2,0.94,50,2.57,,
236,15.2,0.5,20.3,8.1,990,590,40,1.23,55,23.2,,
237,15.2,0.5,20.3,8,970,480,40,1.32,55,24.1,,
238,15.2,0.5,20.4,7.9,830,410,0,1.21,60,0.89,,
239,15.2,0.5,20.4,7.9,820,400,0,1.02,60,0.84,,
240,15.2,0.5,20.4,7.9,740,360,50,1,75,48.1,,
241,15.2,0.5,20.5,7.8,700,340,50,1.04,75,43.7,,
242,10.3,0.45,15.6,7.8,1070,530,80,1.15,30,70,,
243,10.3,0.45,15.2,7.9,920,460,80,1.8,30,49.9,,
244,10.3,0.45,15.1,8.1,1390,690,1,1.24,45,2.55,,
245,10.3,0.45,15,8.2,1350,670,1,1.86,45,2.03,,
246,10.3,0.45,15,8.1,1250,610,20,1.75,50,12.7,,
247,10.3,0.45,15.1,8.1,1280,630,20,1.51,50,12.5,,
248,10.3,0.45,15.1,8,800,390,0,0.77,50,3.13,,
249,10.3,0.45,15.1,7.9,770,380,0,0.3,50,2.65,,
250,10.3,0.45,15.1,8,1360,670,25,1.44,70,30.7,,
251,10.3,0.45,15.1,8,1370,670,25,0.94,70,40.3,,
252,15,0.68,14.6,8,1160,570,50,1.79,35,39.1,,
253,15,0.68,14.5,8,1020,500,50,1.69,35,48.8,,
254,15,0.68,14.6,8.1,1420,700,10,1.72,50,23.6,,
255,15,0.68,14.5,8.1,1410,700,10,1.55,50,21.6,,
256,15,0.68,14.5,8.1,1320,650,20,1.36,40,20.7,,
257,15,0.68,14.5,8.1,1300,640,20,1.59,40,18.6,,
258,15,0.68,14.6,8,850,420,0,0.69,50,2.2,,
259,15,0.68,14.6,7.9,810,400,0,1.12,50,1.43,,
260,15,0.68,14.6,8,1400,690,40,1.03,65,49.4,,
261,15,0.68,14.6,8,1410,690,40,0.95,65,26.7,,
262,11,0.51,13.1,7.8,1070,530,40,3.17,40,55.6,,
263,11,0.51,13.2,7.8,870,430,40,2.22,40,47.5,,
264,11,0.51,12.9,8.2,1390,690,40,3.41,35,16.7,,
265,11,0.51,13.1,8.1,1350,670,40,3.17,35,17.1,,
266,11,0.51,12.9,8.2,1250,620,2,1.8,40,25.2,,
267,11,0.51,13.1,8.1,1250,620,2,1.38,40,23.2,,
268,11,0.51,12.9,8.1,880,420,10,2.73,55,1.87,,
269,11,0.51,13.1,8.1,900,440,10,1.68,55,1.4,,
270,11,0.51,13,7.8,1070,530,20,1.32,55,31.5,,
271,11,0.51,13.1,8,1100,540,20,2.22,55,28.3,,
272,,,,,,,,,,,,
273,,,,,,,,,,,,
